timestamp_s,ax,ay,az,gx,gy,gz,label
0.006617,0.756,0.69,0.009,1.77,-0.122,0.122,0
0.013311,0.759,0.689,0.011,1.159,-0.183,0.061,0
0.019697,0.753,0.689,0.011,1.037,0.0,0.0,0
0.026869,0.758,0.685,0.015,0.732,0.061,0.0,0
0.033875,0.755,0.684,0.016,0.976,0.183,-0.244,0
0.040886,0.758,0.677,0.014,0.854,0.061,-0.244,0
0.048751,0.76,0.676,0.008,0.488,0.244,-0.427,0
0.056568,0.758,0.678,0.005,0.366,0.061,-0.305,0
0.063218,0.754,0.674,0.008,0.427,-0.122,-0.305,0
0.071274,0.754,0.675,0.003,0.488,-0.244,-0.122,0
0.079402,0.755,0.677,0.01,0.732,-0.305,-0.061,0
0.087677,0.747,0.677,0.014,1.098,-0.366,0.122,0
0.095789,0.75,0.679,0.016,0.915,-0.366,0.183,0
0.102892,0.747,0.679,0.015,0.793,-0.427,0.0,0
0.111382,0.751,0.68,0.02,0.854,-0.488,-0.183,0
0.118969,0.75,0.684,0.023,0.305,-0.488,0.061,0
0.126809,0.749,0.682,0.028,0.366,-0.427,-0.366,0
0.134621,0.752,0.68,0.031,0.793,-0.122,-0.366,0
0.141515,0.755,0.685,0.034,0.671,-0.061,-0.183,0
0.148699,0.75,0.682,0.031,0.793,-0.122,-0.427,0
0.156666,0.75,0.677,0.032,0.976,-0.305,-0.549,0
0.165773,0.75,0.678,0.031,1.22,-0.183,-0.305,0
0.172765,0.751,0.676,0.025,1.403,0.061,-0.366,0
0.18056,0.752,0.677,0.029,1.342,0.183,-0.366,0
0.189452,0.753,0.675,0.022,1.77,-0.061,-0.427,0
0.1978,0.753,0.672,0.021,1.831,0.244,-0.488,0
0.206009,0.751,0.669,0.029,2.136,0.0,-0.244,0
0.212959,0.75,0.664,0.028,2.014,0.061,-0.183,0
0.220225,0.751,0.663,0.025,1.586,0.244,-0.061,0
0.228392,0.75,0.662,0.027,1.281,0.183,-0.244,0
0.236983,0.753,0.666,0.026,0.793,0.061,-0.061,0
0.243726,0.753,0.662,0.025,0.427,0.183,0.183,0
0.252272,0.755,0.667,0.023,-0.244,0.305,0.0,0
0.260723,0.758,0.673,0.019,-0.488,0.244,0.305,0
0.267507,0.76,0.675,0.023,-0.183,0.305,0.244,0
0.275966,0.76,0.676,0.023,0.488,0.183,0.366,0
0.282324,0.757,0.674,0.02,1.342,0.183,0.305,0
0.290368,0.758,0.675,0.025,1.525,0.305,0.366,0
0.297295,0.761,0.674,0.021,1.464,0.061,0.244,0
0.305304,0.761,0.672,0.021,1.586,0.366,0.061,0
0.31369,0.757,0.674,0.02,1.098,0.305,0.305,0
0.320124,0.756,0.673,0.022,0.671,0.427,0.183,0
0.328147,0.751,0.676,0.023,0.549,0.305,0.305,0
0.334945,0.748,0.676,0.022,0.0,0.305,0.061,0
0.34296,0.745,0.678,0.022,-0.244,0.427,0.305,0
0.350883,0.749,0.682,0.021,0.0,0.549,0.061,0
0.357992,0.75,0.683,0.017,0.122,0.305,0.183,0
0.364552,0.751,0.684,0.018,0.305,0.366,0.0,0
0.372714,0.75,0.681,0.019,0.488,0.427,0.122,0
0.380229,0.747,0.68,0.023,0.366,0.305,0.061,0
0.38663,0.752,0.678,0.021,-0.061,0.244,0.0,0
0.394722,0.752,0.68,0.026,0.0,0.488,0.183,0
0.402867,0.754,0.674,0.028,-0.122,0.488,0.305,0
0.409727,0.753,0.67,0.027,-0.427,0.549,0.244,0
0.418337,0.75,0.674,0.025,-0.854,0.61,0.305,0
0.42557,0.75,0.674,0.021,-1.037,0.549,0.427,0
0.432684,0.749,0.678,0.026,-1.647,0.854,0.488,0
0.440558,0.75,0.675,0.023,-2.197,1.098,0.366,0
0.448501,0.754,0.679,0.02,-2.319,0.976,0.244,0
0.457342,0.752,0.68,0.016,-2.38,0.793,0.488,0
0.46476,0.749,0.682,0.014,-2.258,0.854,0.244,0
0.471166,0.751,0.683,0.018,-1.953,0.427,0.366,0
0.480092,0.755,0.685,0.02,-1.647,0.732,0.122,0
0.486997,0.752,0.683,0.019,-1.159,0.671,0.183,0
0.494637,0.754,0.679,0.018,-1.22,0.793,0.305,0
0.504137,0.755,0.68,0.014,-1.281,0.61,0.488,0
0.510356,0.751,0.683,0.017,-1.464,0.549,0.427,0
0.518671,0.747,0.683,0.019,-1.464,0.671,0.305,0
0.525782,0.749,0.681,0.017,-1.525,0.671,0.305,0
0.534788,0.747,0.681,0.017,-1.281,0.793,0.183,0
0.541343,0.745,0.684,0.013,-1.281,0.671,0.122,0
0.550098,0.748,0.686,0.013,-1.525,0.305,0.122,0
0.555794,0.748,0.687,0.014,-1.281,0.549,0.122,0
0.565177,0.752,0.685,0.014,-1.098,0.366,-0.183,0
0.574149,0.75,0.685,0.013,-0.732,0.244,-0.061,0
0.580195,0.749,0.678,0.021,-0.427,0.488,-0.061,0
