timestamp_s,ax,ay,az,gx,gy,gz,label
0.004568,-0.8,0.609,-0.019,-0.244,-1.037,3.723,2
0.012746,-0.8,0.609,-0.013,3.234,-1.159,3.723,2
0.02015,-0.804,0.612,-0.019,6.53,-1.647,3.784,2
0.027882,-0.811,0.614,-0.011,8.117,-1.953,3.417,2
0.036053,-0.804,0.611,-0.012,8.728,-1.953,3.295,2
0.044082,-0.8,0.61,-0.012,8.789,-2.014,3.112,2
0.050722,-0.797,0.609,-0.005,8.911,-1.831,2.99,2
0.059082,-0.798,0.607,-0.007,8.544,-1.77,2.868,2
0.067038,-0.799,0.616,-0.01,7.629,-1.281,2.868,2
0.075372,-0.803,0.612,-0.007,5.126,-1.22,2.685,2
0.081519,-0.792,0.613,-0.009,2.441,-0.732,2.441,2
0.091778,-0.79,0.615,-0.005,-0.183,-0.244,2.197,2
0.098333,-0.79,0.615,-0.012,-2.38,-0.061,1.892,2
0.105821,-0.79,0.621,-0.012,-3.784,0.061,1.525,2
0.114521,-0.786,0.623,-0.011,-4.577,0.183,1.22,2
0.122972,-0.791,0.632,-0.009,-4.943,0.366,1.037,2
0.130654,-0.789,0.632,-0.011,-5.249,0.549,0.793,2
0.138875,-0.788,0.635,-0.009,-5.371,0.549,0.305,2
0.146261,-0.784,0.643,-0.004,-5.249,0.488,0.061,2
0.155392,-0.78,0.648,-0.006,-4.333,0.671,-0.122,2
0.162755,-0.781,0.66,-0.006,-3.54,0.793,-0.671,2
0.171125,-0.779,0.668,-0.008,-3.723,0.854,-1.22,2
0.178797,-0.782,0.673,-0.014,-4.882,0.915,-1.586,2
0.188135,-0.792,0.684,-0.01,-6.164,1.098,-2.38,2
0.195813,-0.789,0.69,-0.007,-5.004,1.037,-3.051,2
0.203837,-0.779,0.697,-0.006,-1.77,0.854,-3.662,2
0.211871,-0.769,0.694,-0.007,3.112,0.549,-4.15,2
0.219999,-0.775,0.697,-0.003,7.141,0.305,-4.699,2
0.227067,-0.775,0.696,0.0,11.413,0.122,-5.187,2
0.236684,-0.776,0.697,-0.001,14.953,0.0,-5.432,2
0.243181,-0.776,0.698,-0.002,17.822,0.122,-6.225,2
0.251541,-0.793,0.698,0.0,18.31,0.488,-6.652,2
0.259243,-0.811,0.694,-0.005,16.113,1.22,-7.446,2
0.267641,-0.824,0.69,-0.01,12.207,2.136,-7.995,2
0.274652,-0.83,0.681,-0.009,6.652,3.54,-8.483,2
0.282505,-0.814,0.67,-0.009,3.234,4.333,-8.3,2
0.290275,-0.79,0.661,-0.015,1.525,5.187,-8.056,2
0.298659,-0.763,0.649,-0.016,-0.366,5.676,-7.69,2
0.307147,-0.741,0.642,-0.026,-2.197,6.103,-7.263,2
0.314857,-0.713,0.633,-0.028,-5.065,6.469,-6.835,2
0.323719,-0.705,0.632,-0.037,-8.178,6.652,-6.591,2
0.330595,-0.696,0.632,-0.032,-11.047,6.835,-6.408,2
0.339899,-0.697,0.649,-0.031,-13.549,7.324,-6.713,2
0.34705,-0.701,0.656,-0.027,-16.357,7.385,-7.019,2
0.356453,-0.719,0.675,-0.031,-19.531,7.873,-7.568,2
0.363745,-0.732,0.697,-0.025,-22.644,8.3,-8.422,2
0.372861,-0.749,0.718,-0.029,-26.672,8.85,-9.155,2
0.380236,-0.769,0.734,-0.031,-29.907,9.155,-10.009,2
0.389072,-0.777,0.763,-0.021,-32.531,9.521,-10.925,2
0.396505,-0.768,0.792,-0.025,-33.996,9.521,-11.596,2
0.404948,-0.772,0.819,-0.025,-36.56,10.192,-12.817,2
0.412744,-0.76,0.85,-0.017,-39.001,10.437,-13.916,2
0.421551,-0.752,0.878,-0.016,-39.978,10.986,-15.319,2
0.430401,-0.746,0.916,-0.005,-38.024,10.62,-16.418,2
0.438146,-0.741,0.944,0.007,-34.484,10.681,-18.737,2
0.447434,-0.738,0.969,0.009,-31.005,10.742,-20.507,2
0.455163,-0.731,0.994,0.01,-28.015,10.986,-22.827,2
0.464293,-0.723,1.018,0.017,-27.099,11.413,-24.902,2
0.471707,-0.688,1.05,0.018,-25.695,12.084,-27.343,2
0.481726,-0.616,1.074,0.024,-17.944,12.268,-30.029,2
0.488814,-0.723,1.108,0.009,-21.057,13.0,-31.433,2
0.496193,-0.703,1.179,0.007,-35.339,13.977,-34.362,2
0.504299,-0.658,1.238,0.026,-39.916,15.319,-36.56,2
0.511899,-0.676,1.294,0.018,-49.072,16.54,-39.489,2
0.519695,-0.652,1.366,0.049,-56.213,17.578,-42.907,2
0.527197,-0.63,1.413,0.055,-56.152,18.371,-47.302,2
0.535311,-0.629,1.461,0.075,-52.246,18.676,-51.208,2
0.544774,-0.644,1.496,0.073,-49.56,19.409,-55.725,2
0.551775,-0.663,1.541,0.085,-50.17,20.446,-61.279,2
0.561332,-0.664,1.576,0.084,-52.612,21.423,-65.917,2
0.568504,-0.667,1.625,0.087,-56.762,22.705,-71.166,2
0.576383,-0.675,1.657,0.079,-62.988,23.986,-76.782,2
0.584591,-0.682,1.686,0.081,-70.495,24.902,-83.557,2
0.592342,-0.677,1.724,0.084,-72.631,25.024,-88.928,2
0.600753,-0.682,1.757,0.087,-68.664,24.475,-95.336,2
0.607996,-0.69,1.78,0.087,-62.194,23.742,-100.28,2
0.616351,-0.714,1.802,0.098,-55.297,22.644,-106.018,2
0.624727,-0.732,1.82,0.106,-46.081,21.606,-112.121,2
0.631388,-0.754,1.831,0.114,-37.597,20.751,-117.553,2
0.640305,-0.77,1.833,0.124,-31.188,20.141,-122.741,2
0.647276,-0.792,1.839,0.129,-27.465,19.836,-127.929,2
0.656005,-0.812,1.853,0.137,-26.0,20.019,-133.239,2
0.663481,-0.831,1.861,0.146,-27.343,20.446,-138.916,2
0.672425,-0.861,1.864,0.157,-28.442,20.69,-145.446,2
0.681737,-0.909,1.872,0.169,-28.808,21.24,-152.343,2
0.68886,-0.949,1.886,0.18,-27.587,21.667,-159.057,2
0.697812,-0.996,1.883,0.188,-25.268,21.85,-164.733,2
0.705846,-1.037,1.886,0.197,-20.507,22.399,-170.41,2
0.713879,-1.065,1.879,0.209,-12.084,22.338,-176.513,2
0.722401,-1.083,1.863,0.208,-0.854,22.399,-182.373,2
0.730677,-1.111,1.851,0.208,8.789,22.399,-187.072,2
0.737371,-1.127,1.816,0.206,15.991,23.376,-191.894,2
0.746307,-1.14,1.79,0.208,18.615,24.475,-197.082,2
0.753569,-1.149,1.759,0.206,17.456,25.878,-201.538,2
0.76256,-1.164,1.722,0.206,15.441,27.343,-206.298,2
0.770162,-1.187,1.686,0.206,14.77,28.747,-210.693,2
0.777939,-1.197,1.651,0.204,14.465,29.907,-215.515,2
0.78833,-1.213,1.609,0.2,15.319,31.433,-219.177,2
0.795568,-1.237,1.551,0.181,18.249,32.592,-223.327,2
0.804694,-1.247,1.482,0.168,22.277,33.996,-226.867,2
0.811193,-1.245,1.424,0.155,25.085,35.034,-229.431,2
