timestamp_s,ax,ay,az,gx,gy,gz,label
0.004317,0.787,0.61,0.077,0.0,-1.098,1.647,0
0.013262,0.786,0.613,0.073,-1.586,-0.732,1.464,0
0.021201,0.787,0.623,0.075,-2.38,-0.915,1.647,0
0.02735,0.791,0.631,0.078,-0.976,-1.098,1.525,0
0.035937,0.794,0.624,0.076,0.732,-1.525,1.647,0
0.042474,0.797,0.618,0.076,1.159,-1.464,1.525,0
0.050731,0.8,0.615,0.081,1.159,-1.647,1.831,0
0.058541,0.803,0.611,0.085,1.77,-1.647,1.892,0
0.067543,0.797,0.617,0.083,2.746,-1.708,2.075,0
0.074264,0.796,0.626,0.085,3.662,-1.892,2.197,0
0.083785,0.799,0.629,0.09,4.516,-1.647,2.38,0
0.090324,0.805,0.628,0.087,4.211,-1.525,2.075,0
0.097644,0.805,0.624,0.084,2.38,-1.281,2.136,0
0.105901,0.805,0.62,0.085,0.122,-1.281,2.014,0
0.114447,0.807,0.622,0.085,-2.319,-1.098,2.197,0
0.121438,0.806,0.622,0.087,-4.455,-0.976,2.075,0
0.129693,0.806,0.624,0.095,-4.333,-0.732,1.953,0
0.138086,0.805,0.626,0.1,-3.662,-1.037,2.136,0
0.145033,0.81,0.631,0.103,-3.295,-1.037,2.075,0
0.153119,0.811,0.641,0.1,-2.319,-0.976,2.563,0
0.161039,0.812,0.645,0.096,-1.403,-1.037,2.319,0
0.170263,0.806,0.654,0.098,-0.061,-1.037,2.014,0
0.178331,0.802,0.656,0.097,1.22,-0.854,1.831,0
0.18567,0.811,0.652,0.094,1.22,-1.159,1.464,0
0.194322,0.801,0.653,0.092,-1.098,-0.915,1.22,0
0.201808,0.801,0.662,0.095,-2.38,-0.488,1.159,0
0.210677,0.795,0.671,0.093,-2.746,-0.183,0.732,0
0.21754,0.794,0.679,0.092,-3.295,-0.061,0.305,0
0.22601,0.786,0.683,0.093,-3.906,0.122,-0.305,0
0.233251,0.788,0.688,0.093,-3.479,0.122,-0.732,0
0.24213,0.788,0.686,0.091,-1.953,0.0,-0.915,0
0.249139,0.791,0.683,0.09,-1.281,0.061,-1.403,0
0.258155,0.792,0.675,0.09,-0.427,-0.244,-1.525,0
0.265292,0.793,0.673,0.09,0.61,-0.244,-1.77,0
0.274049,0.791,0.669,0.094,1.708,-0.366,-2.014,0
0.28244,0.796,0.664,0.098,2.563,-0.305,-2.075,0
0.291355,0.792,0.653,0.093,2.258,-0.488,-2.441,0
0.29827,0.79,0.643,0.1,1.464,-0.427,-2.685,0
0.307451,0.794,0.638,0.093,0.061,-0.122,-3.112,0
0.316392,0.794,0.628,0.103,0.488,-0.183,-2.868,0
0.324043,0.799,0.619,0.098,1.403,-0.305,-2.929,0
0.331874,0.804,0.612,0.097,0.732,-0.061,-2.624,0
0.339658,0.806,0.612,0.095,-0.61,0.244,-2.868,0
0.34882,0.809,0.612,0.099,-1.708,0.122,-2.868,0
0.356188,0.807,0.61,0.098,-2.319,0.488,-2.746,0
0.363387,0.805,0.608,0.094,-2.197,0.427,-2.563,0
0.372003,0.801,0.605,0.098,-2.075,0.549,-2.563,0
0.378939,0.802,0.606,0.094,-0.671,0.427,-2.319,0
0.387159,0.796,0.605,0.094,1.098,0.244,-1.831,0
0.39447,0.79,0.597,0.091,1.953,0.122,-1.464,0
0.402426,0.787,0.603,0.087,1.953,-0.244,-1.403,0
0.41102,0.782,0.604,0.092,2.624,-0.427,-1.037,0
