timestamp_s,ax,ay,az,gx,gy,gz,label
0.005515,-0.736,0.619,-0.023,22.033,0.549,-14.282,2
0.014065,-0.731,0.602,-0.027,27.954,-0.854,-13.916,2
0.022466,-0.725,0.591,-0.03,32.592,-2.075,-13.427,2
0.030485,-0.719,0.589,-0.033,34.362,-3.051,-13.0,2
0.037793,-0.704,0.579,-0.028,35.095,-3.601,-11.779,2
0.045808,-0.702,0.571,-0.029,34.057,-4.211,-11.413,2
0.053594,-0.708,0.569,-0.033,31.616,-4.577,-10.375,2
0.062371,-0.719,0.571,-0.031,26.733,-4.577,-9.277,2
0.070364,-0.722,0.57,-0.023,23.071,-4.577,-8.483,2
0.078511,-0.725,0.573,-0.019,20.69,-4.577,-7.263,2
0.088233,-0.73,0.581,-0.019,19.592,-4.699,-5.737,2
0.097081,-0.739,0.584,-0.014,19.958,-4.943,-4.577,2
0.104,-0.748,0.591,-0.005,21.667,-5.126,-3.173,2
0.112163,-0.748,0.593,-0.005,24.108,-5.065,-2.014,2
0.118877,-0.748,0.599,-0.003,26.672,-5.187,-1.037,2
0.12789,-0.738,0.611,-0.004,29.479,-5.187,0.183,2
0.137036,-0.74,0.62,-0.003,31.311,-4.76,0.854,2
0.1451,-0.731,0.623,-0.01,30.7,-4.089,1.525,2
0.153053,-0.734,0.624,-0.012,27.282,-3.356,2.014,2
0.162318,-0.734,0.627,-0.009,19.958,-1.586,2.075,2
0.168966,-0.728,0.635,-0.01,10.681,-0.305,2.197,2
0.177251,-0.718,0.638,-0.006,3.112,1.037,2.258,2
0.186243,-0.706,0.646,-0.004,-2.868,2.258,2.136,2
0.195136,-0.71,0.653,-0.006,-8.972,3.295,2.319,2
0.204321,-0.717,0.66,0.0,-12.145,4.333,2.197,2
0.212268,-0.712,0.665,0.0,-12.878,4.76,1.77,2
0.219528,-0.71,0.665,0.0,-11.535,4.699,1.892,2
0.228906,-0.709,0.667,0.001,-8.117,4.76,1.647,2
0.236375,-0.708,0.666,0.004,-4.76,4.577,1.647,2
0.24364,-0.707,0.662,0.0,-1.525,4.333,1.647,2
0.2515,-0.706,0.665,-0.001,1.525,4.272,1.831,2
0.260337,-0.708,0.67,0.004,3.173,4.272,1.831,2
0.26756,-0.726,0.669,0.0,3.356,4.211,2.075,2
0.276711,-0.731,0.673,-0.005,2.319,4.333,2.197,2
0.284446,-0.738,0.672,-0.007,0.671,4.821,2.563,2
0.292666,-0.73,0.68,-0.006,-0.793,5.004,2.99,2
0.300874,-0.735,0.679,-0.009,-2.807,5.187,3.54,2
0.308147,-0.745,0.682,-0.007,-4.638,5.432,3.967,2
0.316667,-0.768,0.691,-0.004,-8.056,5.737,4.76,2
0.323448,-0.787,0.701,0.002,-11.047,6.103,5.432,2
0.331558,-0.8,0.715,0.009,-13.244,6.53,6.408,2
0.339783,-0.813,0.725,0.007,-14.282,6.896,7.263,2
0.346693,-0.815,0.727,0.018,-14.099,7.507,8.3,2
0.354856,-0.798,0.73,0.025,-13.916,8.056,9.216,2
0.363135,-0.771,0.735,0.028,-15.991,9.643,9.887,2
0.371187,-0.752,0.737,0.022,-20.751,11.047,10.498,2
0.379183,-0.732,0.742,0.027,-31.677,13.549,10.559,2
0.38693,-0.71,0.75,0.02,-44.982,15.136,10.62,2
0.394819,-0.68,0.761,0.035,-59.448,17.761,10.009,2
0.403079,-0.651,0.768,0.033,-74.34,20.141,9.521,2
0.412143,-0.638,0.782,0.042,-89.416,22.766,8.605,2
0.418897,-0.627,0.8,0.048,-98.083,24.414,8.3,2
0.427303,-0.627,0.825,0.071,-101.562,25.878,7.324,2
0.435728,-0.638,0.844,0.087,-101.562,27.343,6.347,2
0.443219,-0.651,0.862,0.1,-98.876,28.137,5.859,2
0.450667,-0.657,0.878,0.111,-94.604,29.113,5.187,2
0.458227,-0.662,0.901,0.133,-89.416,30.151,4.333,2
0.465867,-0.671,0.92,0.142,-84.289,31.494,3.784,2
0.474493,-0.679,0.933,0.154,-81.787,33.63,2.99,2
0.482119,-0.677,0.95,0.159,-83.007,35.766,2.197,2
0.491083,-0.668,0.957,0.169,-85.876,38.513,0.854,2
0.498951,-0.66,0.973,0.171,-87.341,40.71,-0.61,2
0.507549,-0.668,0.987,0.18,-88.623,42.785,-1.647,2
0.515198,-0.663,0.998,0.181,-90.148,45.349,-3.784,2
0.523573,-0.663,1.009,0.188,-92.468,47.973,-5.31,2
0.531773,-0.659,1.03,0.186,-94.116,49.865,-7.446,2
0.53996,-0.652,1.039,0.197,-95.397,51.879,-9.277,2
0.546573,-0.649,1.055,0.206,-94.97,53.405,-11.535,2
0.555452,-0.647,1.075,0.225,-93.811,55.175,-14.038,2
0.563025,-0.647,1.08,0.231,-92.834,57.128,-16.784,2
0.57117,-0.653,1.086,0.239,-94.055,59.02,-19.348,2
0.577701,-0.661,1.093,0.25,-96.618,61.279,-21.789,2
0.585399,-0.678,1.104,0.254,-98.754,63.11,-24.353,2
0.593679,-0.687,1.119,0.268,-99.182,64.88,-27.099,2
0.600389,-0.687,1.128,0.271,-98.693,66.711,-30.09,2
0.608323,-0.684,1.136,0.272,-98.449,67.993,-33.081,2
0.616339,-0.691,1.145,0.274,-96.679,69.152,-35.949,2
0.623211,-0.707,1.158,0.28,-95.397,70.312,-39.123,2
0.630844,-0.708,1.167,0.28,-95.214,71.044,-41.931,2
0.63912,-0.696,1.172,0.284,-97.29,71.716,-45.227,2
0.647999,-0.669,1.189,0.282,-98.876,72.204,-48.4,2
0.654946,-0.648,1.203,0.276,-101.257,72.937,-52.49,2
0.663651,-0.635,1.226,0.269,-105.468,72.937,-56.091,2
0.671254,-0.617,1.258,0.279,-108.947,72.998,-59.265,2
0.679204,-0.625,1.295,0.289,-110.656,72.631,-63.842,2
0.687229,-0.643,1.338,0.293,-109.985,72.082,-67.932,2
0.696462,-0.666,1.37,0.301,-107.788,71.777,-72.814,2
0.70312,-0.703,1.399,0.315,-104.003,71.411,-77.636,2
0.71189,-0.735,1.437,0.322,-97.229,70.861,-82.153,2
0.720103,-0.761,1.458,0.33,-84.35,69.58,-88.378,2
0.728708,-0.751,1.465,0.334,-70.251,68.115,-93.444,2
0.735228,-0.74,1.45,0.349,-56.701,67.321,-98.327,2
0.744327,-0.75,1.43,0.36,-46.691,66.65,-104.125,2
0.751042,-0.761,1.425,0.375,-39.428,66.406,-108.581,2
0.760162,-0.786,1.419,0.38,-30.761,66.589,-113.159,2
0.767925,-0.831,1.421,0.383,-23.803,67.565,-117.919,2
0.776602,-0.884,1.416,0.394,-23.071,68.542,-122.253,2
0.783234,-0.91,1.406,0.415,-20.751,69.458,-125.854,2
0.790899,-0.907,1.386,0.427,-14.16,70.068,-129.089,2
0.799931,-0.911,1.36,0.438,-2.746,70.373,-132.019,2
0.808554,-0.912,1.327,0.453,9.521,69.946,-133.483,2
0.815523,-0.897,1.296,0.479,27.404,69.702,-134.582,2
0.824204,-0.916,1.244,0.5,46.997,69.946,-134.521,2
0.830867,-0.946,1.199,0.522,56.762,70.983,-133.972,2
0.83933,-0.948,1.172,0.539,60.974,73.303,-133.361,2
0.845893,-0.977,1.129,0.55,56.701,77.087,-132.141,2
0.853846,-0.989,1.082,0.557,43.151,80.932,-130.798,2
0.860823,-0.984,1.049,0.568,29.785,85.571,-129.821,2
0.869757,-0.983,1.018,0.562,20.385,88.928,-128.479,2
0.877369,-0.967,1.004,0.568,18.31,92.712,-127.075,2
0.886717,-0.967,0.973,0.542,16.601,95.886,-125.732,2
0.895398,-0.949,0.934,0.513,10.314,98.815,-124.694,2
0.903658,-0.932,0.904,0.484,4.577,100.708,-123.291,2
0.911889,-0.946,0.896,0.475,0.549,102.539,-121.765,2
0.920161,-0.952,0.889,0.448,-0.305,104.248,-120.483,2
0.928391,-0.943,0.881,0.438,0.976,105.651,-119.689,2
0.936547,-0.908,0.871,0.417,4.15,106.689,-118.53,2
0.943823,-0.895,0.874,0.406,5.737,108.154,-117.736,2
0.952886,-0.899,0.879,0.374,3.356,109.436,-117.248,2
