timestamp_s,ax,ay,az,gx,gy,gz,label
0.004862,-0.652,0.142,0.75,15.563,6.53,-3.234,3
0.013649,-0.646,0.136,0.761,16.174,6.469,-3.479,3
0.01992,-0.653,0.132,0.758,16.357,6.103,-3.723,3
0.028622,-0.656,0.132,0.752,15.686,6.042,-3.845,3
0.036938,-0.652,0.133,0.751,14.282,6.103,-3.662,3
0.043905,-0.655,0.131,0.755,12.451,5.798,-3.784,3
0.052159,-0.65,0.127,0.754,9.765,5.493,-3.479,3
0.059284,-0.655,0.132,0.752,7.202,5.371,-3.295,3
0.067822,-0.659,0.13,0.756,4.394,5.676,-3.417,3
0.07459,-0.652,0.133,0.75,1.708,5.432,-2.807,3
0.082445,-0.652,0.131,0.751,0.122,5.676,-2.807,3
0.092387,-0.649,0.138,0.752,-0.366,5.737,-2.502,3
0.098834,-0.647,0.137,0.75,0.183,5.859,-2.441,3
0.106555,-0.645,0.137,0.751,1.892,5.676,-2.685,3
0.114687,-0.646,0.134,0.752,3.784,5.615,-2.746,3
0.12313,-0.645,0.136,0.755,6.225,5.737,-3.112,3
0.130165,-0.643,0.137,0.754,9.094,5.432,-3.295,3
0.137485,-0.646,0.131,0.763,11.779,5.432,-3.784,3
0.146945,-0.637,0.13,0.759,13.549,5.004,-3.845,3
0.155485,-0.65,0.126,0.759,14.16,5.249,-4.089,3
0.162412,-0.638,0.123,0.762,13.183,5.249,-4.089,3
0.170365,-0.645,0.126,0.758,12.207,5.371,-4.028,3
0.179649,-0.644,0.128,0.755,11.047,5.126,-3.967,3
0.186853,-0.639,0.125,0.758,9.338,5.187,-3.845,3
0.194762,-0.643,0.125,0.761,7.568,5.31,-3.784,3
0.203101,-0.645,0.123,0.765,6.286,5.432,-3.417,3
0.211024,-0.642,0.121,0.762,4.76,5.859,-3.723,3
0.217842,-0.643,0.126,0.767,4.516,5.798,-3.601,3
0.225444,-0.642,0.122,0.762,4.882,5.554,-3.662,3
0.234741,-0.637,0.124,0.762,5.676,5.371,-3.784,3
0.243491,-0.635,0.121,0.771,5.615,5.493,-3.906,3
0.251769,-0.633,0.126,0.775,5.798,4.882,-3.601,3
0.259647,-0.632,0.128,0.775,5.249,4.882,-3.723,3
0.267765,-0.633,0.125,0.777,4.821,4.455,-3.662,3
0.27568,-0.632,0.131,0.78,4.15,3.723,-3.356,3
0.282944,-0.63,0.13,0.783,2.685,3.417,-2.99,3
0.292673,-0.632,0.13,0.783,1.831,2.685,-2.441,3
0.300442,-0.631,0.134,0.78,0.183,2.441,-1.831,3
0.308554,-0.633,0.134,0.779,-0.183,2.075,-1.525,3
0.315421,-0.629,0.133,0.772,-0.183,1.708,-1.037,3
0.322948,-0.633,0.129,0.771,0.427,1.525,-0.976,3
0.330351,-0.631,0.13,0.768,1.098,1.647,-0.854,3
0.338011,-0.63,0.124,0.77,1.525,1.586,-0.976,3
0.347412,-0.632,0.119,0.767,1.953,1.464,-0.976,3
0.355212,-0.634,0.116,0.773,2.319,1.342,-1.22,3
0.36192,-0.63,0.115,0.774,2.746,1.159,-1.464,3
0.371021,-0.627,0.119,0.785,2.746,0.854,-1.647,3
0.379393,-0.632,0.123,0.78,2.685,0.366,-1.708,3
0.388044,-0.631,0.122,0.786,2.502,-0.244,-1.525,3
0.396195,-0.632,0.125,0.79,2.441,-1.037,-1.647,3
0.403289,-0.627,0.128,0.789,2.441,-1.647,-1.586,3
0.410204,-0.63,0.127,0.782,2.441,-2.319,-1.464,3
0.418262,-0.632,0.129,0.782,2.075,-2.746,-0.976,3
0.426609,-0.632,0.12,0.78,1.892,-3.051,-0.976,3
0.435214,-0.632,0.123,0.774,1.281,-3.356,-0.915,3
0.443153,-0.632,0.116,0.776,0.549,-3.662,-0.976,3
0.450775,-0.632,0.117,0.773,0.0,-3.356,-1.22,3
0.460378,-0.634,0.118,0.77,-0.732,-3.54,-1.098,3
0.46821,-0.633,0.118,0.78,-1.281,-3.967,-1.22,3
0.478623,-0.631,0.122,0.782,-1.708,-4.272,-0.976,3
0.486325,-0.631,0.125,0.783,-1.953,-4.943,-0.854,3
0.495193,-0.634,0.132,0.783,-1.831,-5.798,-0.854,3
0.504148,-0.634,0.132,0.783,-1.525,-6.347,-0.549,3
0.510689,-0.641,0.135,0.778,-1.22,-6.896,-0.122,3
0.51979,-0.635,0.135,0.769,-1.403,-6.958,-0.366,3
0.527689,-0.638,0.131,0.764,-1.281,-7.324,0.427,3
0.535735,-0.637,0.132,0.765,-1.037,-7.385,0.366,3
0.543034,-0.64,0.124,0.757,-0.793,-7.507,0.671,3
0.552394,-0.636,0.123,0.761,-0.915,-7.446,0.671,3
0.560193,-0.641,0.123,0.755,-0.732,-7.385,0.549,3
0.568474,-0.646,0.121,0.752,-1.098,-7.019,0.671,3
0.577681,-0.647,0.115,0.751,-1.098,-6.591,0.549,3
0.585258,-0.648,0.116,0.755,-1.281,-6.53,0.549,3
0.59379,-0.642,0.119,0.762,-1.525,-6.408,0.183,3
0.601226,-0.646,0.118,0.766,-1.525,-6.591,0.0,3
0.609783,-0.646,0.123,0.761,-1.953,-6.835,-0.122,3
0.617837,-0.646,0.122,0.754,-2.075,-6.958,-0.244,3
0.626396,-0.646,0.124,0.754,-2.685,-6.835,-0.244,3
0.633828,-0.645,0.128,0.747,-2.868,-6.652,-0.366,3
0.642171,-0.649,0.129,0.74,-2.746,-6.225,-0.305,3
0.650258,-0.652,0.131,0.741,-2.38,-5.859,0.0,3
0.657332,-0.65,0.127,0.746,-1.647,-5.432,0.0,3
0.664484,-0.653,0.125,0.739,-1.037,-5.065,-0.366,3
0.67255,-0.653,0.121,0.743,-0.732,-4.699,-0.488,3
0.68076,-0.654,0.123,0.746,-0.61,-4.577,-0.671,3
0.689109,-0.654,0.12,0.747,-0.976,-4.455,-1.037,3
0.696582,-0.652,0.118,0.749,-1.403,-4.211,-1.22,3
0.705055,-0.654,0.119,0.753,-1.708,-4.455,-1.464,3
0.713337,-0.654,0.121,0.753,-2.075,-4.394,-1.77,3
0.722428,-0.654,0.124,0.751,-2.807,-4.455,-1.892,3
0.729685,-0.655,0.131,0.751,-3.173,-4.455,-1.77,3
0.739401,-0.656,0.138,0.753,-3.295,-4.577,-1.464,3
0.745413,-0.655,0.14,0.746,-2.502,-4.455,-1.281,3
0.753328,-0.654,0.142,0.744,-1.831,-4.577,-1.037,3
0.762029,-0.655,0.136,0.741,-1.037,-4.455,-0.915,3
0.770606,-0.659,0.137,0.742,-0.61,-4.394,-0.793,3
0.779801,-0.658,0.131,0.734,-0.183,-4.15,-0.671,3
0.789317,-0.665,0.128,0.735,-0.122,-3.601,-0.915,3
0.796568,-0.66,0.125,0.735,0.061,-3.112,-1.037,3
0.804517,-0.66,0.124,0.732,0.061,-2.868,-1.464,3
0.812546,-0.664,0.124,0.734,-0.305,-2.319,-1.586,3
0.820822,-0.664,0.122,0.734,-0.427,-1.831,-1.708,3
0.830119,-0.663,0.122,0.733,-0.61,-1.403,-2.197,3
0.838559,-0.659,0.129,0.743,-0.854,-1.037,-2.258,3
0.845638,-0.661,0.13,0.749,-1.22,-0.976,-2.624,3
0.853062,-0.662,0.132,0.749,-0.976,-1.525,-2.563,3
0.862355,-0.657,0.136,0.753,-0.671,-1.831,-2.441,3
0.87016,-0.658,0.14,0.751,-0.793,-2.38,-2.258,3
0.878752,-0.659,0.142,0.741,-0.793,-2.563,-2.319,3
0.88601,-0.662,0.141,0.741,-1.037,-2.563,-2.075,3
0.895319,-0.66,0.142,0.737,-1.159,-2.38,-1.831,3
0.904876,-0.657,0.143,0.735,-1.098,-2.197,-1.464,3
0.911635,-0.661,0.143,0.742,-0.976,-2.319,-1.098,3
0.920612,-0.662,0.142,0.741,-0.549,-2.136,-0.793,3
0.929464,-0.658,0.138,0.743,-0.244,-1.831,-0.488,3
0.937065,-0.66,0.138,0.743,-0.061,-2.075,-0.427,3
0.94463,-0.662,0.132,0.74,0.366,-1.831,-0.732,3
0.953233,-0.663,0.131,0.737,0.427,-1.647,-0.732,3
0.96068,-0.66,0.13,0.744,0.122,-1.831,-0.915,3
0.968119,-0.665,0.126,0.736,0.0,-1.647,-1.037,3
0.97597,-0.66,0.13,0.737,-0.427,-1.525,-1.403,3
0.986489,-0.663,0.134,0.745,-0.732,-1.892,-1.281,3
0.993648,-0.662,0.137,0.739,-1.037,-1.586,-1.22,3
1.003128,-0.661,0.141,0.743,-0.976,-1.953,-1.22,3
1.011363,-0.663,0.144,0.743,-0.732,-2.319,-1.281,3
1.018565,-0.665,0.141,0.738,-0.122,-2.38,-1.159,3
1.026751,-0.663,0.141,0.737,0.061,-2.502,-1.037,3
1.035642,-0.666,0.142,0.739,0.427,-2.441,-0.793,3
1.043696,-0.666,0.137,0.729,0.366,-2.197,-0.61,3
1.050235,-0.666,0.135,0.729,0.854,-2.014,-0.488,3
1.058123,-0.666,0.138,0.733,0.854,-1.708,-0.732,3
1.066353,-0.664,0.135,0.733,0.854,-1.342,-0.671,3
1.074637,-0.665,0.136,0.739,1.098,-1.22,-0.915,3
1.083322,-0.663,0.132,0.737,1.037,-1.464,-0.976,3
1.089964,-0.661,0.13,0.733,0.854,-1.403,-1.22,3
1.098303,-0.666,0.133,0.736,0.671,-1.159,-1.22,3
1.106281,-0.665,0.133,0.731,-0.244,-0.976,-1.281,3
1.114988,-0.666,0.134,0.73,-0.915,-0.61,-1.403,3
1.12268,-0.668,0.132,0.733,-1.342,-0.244,-1.586,3
1.13051,-0.668,0.134,0.724,-1.586,0.244,-1.831,3
1.138429,-0.667,0.131,0.715,-1.708,0.854,-2.014,3
1.146841,-0.671,0.129,0.702,-2.563,2.441,-2.319,3
1.154867,-0.678,0.122,0.7,-3.54,3.784,-2.746,3
1.161551,-0.666,0.117,0.655,-5.981,6.591,-3.173,3
1.169292,-0.647,0.119,0.616,-7.141,10.498,-4.028,3
1.177622,-0.654,0.153,0.638,-3.173,17.639,-4.76,3
1.186879,-0.645,0.116,0.599,-0.427,23.193,-5.493,3
1.194454,-0.661,0.161,0.647,4.821,29.357,-6.408,3
1.202266,-0.651,0.149,0.62,8.789,33.691,-7.446,3
1.209338,-0.618,0.159,0.605,15.441,40.344,-7.812,3
1.217739,-0.626,0.145,0.636,24.536,45.654,-8.789,3
1.226173,-0.632,0.141,0.628,34.118,51.025,-9.338,3
1.233422,-0.616,0.14,0.642,42.358,55.908,-9.887,3
1.241764,-0.593,0.134,0.63,52.49,62.011,-10.192,3
1.249445,-0.583,0.122,0.65,59.753,67.626,-10.742,3
1.257661,-0.604,0.159,0.665,65.002,73.181,-10.681,3
1.265392,-0.592,0.077,0.624,69.274,78.552,-10.742,3
1.273685,-0.615,0.116,0.666,73.181,84.899,-10.314,3
1.280474,-0.575,0.075,0.631,74.951,89.782,-10.192,3
1.288584,-0.604,0.075,0.67,76.782,96.862,-9.582,3
1.295057,-0.565,0.068,0.66,76.354,101.623,-9.216,3
1.303559,-0.555,0.055,0.643,74.829,109.13,-8.3,3
1.310238,-0.57,0.05,0.666,69.641,114.501,-7.69,3
1.318349,-0.556,0.035,0.623,62.683,122.436,-6.896,3
1.325354,-0.565,0.053,0.672,55.725,129.15,-5.92,3
1.332622,-0.538,0.029,0.651,50.781,134.46,-5.432,3
1.34033,-0.506,0.033,0.694,47.424,140.93,-4.76,3
1.347701,-0.435,0.03,0.698,43.823,147.46,-4.089,3
1.356174,-0.401,0.038,0.737,42.236,154.113,-3.356,3
1.363147,-0.379,0.033,0.712,42.907,160.278,-2.624,3
1.371124,-0.391,0.051,0.731,46.386,166.809,-2.075,3
1.378375,-0.331,0.04,0.768,52.612,173.156,-1.464,3
1.38577,-0.278,0.028,0.757,59.204,178.771,-0.671,3
1.39284,-0.282,0.02,0.754,63.415,185.913,0.244,3
1.401875,-0.293,-0.005,0.748,63.354,192.443,1.647,3
1.408505,-0.311,-0.014,0.778,60.546,199.768,2.868,3
1.415841,-0.306,-0.006,0.804,58.715,206.909,4.028,3
1.424331,-0.294,0.003,0.735,60.852,213.134,5.371,3
1.432205,-0.302,0.009,0.749,66.65,219.482,6.835,3
1.43872,-0.326,-0.001,0.744,69.641,225.646,8.239,3
1.445769,-0.333,-0.042,0.818,70.129,233.337,10.192,3
1.454096,-0.329,-0.038,0.919,68.054,240.722,12.084,3
1.460922,-0.34,-0.039,0.868,65.246,247.68,14.038,3
1.46791,-0.355,-0.116,0.792,56.64,254.333,15.624,3
1.475969,-0.34,-0.103,0.783,45.654,261.962,17.211,3
1.483008,0.007,-0.564,2.281,-48.339,273.742,17.333,3
1.490333,-0.261,1.366,6.821,-318.115,-103.637,-24.414,3
1.497094,0.265,1.619,2.104,-75.744,-23.559,-6.164,3
1.50522,-0.268,1.715,-2.519,-101.867,-47.058,-19.653,3
1.512703,0.189,-0.067,1.645,-67.382,32.226,-16.479,3
1.520838,0.016,-0.929,-0.622,-124.206,-54.199,-24.23,3
1.528695,-0.083,-1.201,-0.507,-105.895,1.892,-3.234,3
1.535039,0.408,-1.695,0.756,-123.718,-18.554,5.432,3
1.543379,-0.527,-0.848,-0.676,-152.099,-50.231,14.343,3
1.550174,0.464,-0.61,0.386,-119.506,8.422,28.93,3
1.558735,-0.348,0.218,0.15,-167.541,-67.321,20.385,3
1.565256,0.017,0.605,-0.506,-120.3,9.887,27.954,3
1.573595,0.036,0.753,0.775,-158.02,-50.903,13.0,3
1.581446,-0.16,0.507,-0.015,-122.985,-0.061,13.122,3
