timestamp_s,ax,ay,az,gx,gy,gz,label
0.004787,0.961,0.304,0.114,0.427,-0.427,-0.183,0
0.012803,0.961,0.297,0.113,0.183,-0.244,-0.183,0
0.019741,0.965,0.3,0.116,0.244,-0.366,-0.122,0
0.027086,0.962,0.299,0.114,0.732,-0.427,-0.305,0
0.034254,0.972,0.297,0.115,0.915,-0.488,0.0,0
0.042109,0.969,0.301,0.119,0.793,-0.488,-0.122,0
0.052042,0.972,0.3,0.119,0.976,-0.549,-0.122,0
0.058416,0.973,0.302,0.125,1.159,-0.488,-0.183,0
0.066585,0.972,0.296,0.127,0.915,-0.366,-0.427,0
0.073734,0.963,0.303,0.125,0.427,-0.122,-0.122,0
0.081865,0.964,0.305,0.127,-0.183,-0.305,-0.244,0
0.088551,0.962,0.304,0.124,-0.549,-0.183,-0.183,0
0.096657,0.959,0.31,0.12,-0.183,-0.183,-0.366,0
0.103305,0.96,0.312,0.119,0.122,-0.244,-0.305,0
0.111555,0.963,0.307,0.112,0.244,-0.305,-0.305,0
0.118503,0.965,0.307,0.117,0.61,-0.305,-0.366,0
0.128564,0.968,0.304,0.115,0.915,-0.366,-0.549,0
0.135618,0.969,0.295,0.114,1.22,-0.793,-0.488,0
0.14424,0.973,0.295,0.124,1.159,-0.427,-0.427,0
0.151686,0.97,0.297,0.124,0.549,-0.488,-0.366,0
0.159495,0.969,0.298,0.124,-0.549,-0.305,-0.671,0
0.168451,0.963,0.3,0.123,-0.854,-0.244,-0.366,0
0.177999,0.964,0.305,0.12,-0.61,-0.183,-0.366,0
0.185421,0.966,0.308,0.118,-0.366,0.0,-0.427,0
0.193324,0.96,0.308,0.121,-0.183,-0.122,-0.122,0
0.201973,0.965,0.305,0.119,0.0,0.0,-0.427,0
0.209274,0.965,0.307,0.118,0.244,0.061,-0.061,0
0.217533,0.966,0.307,0.115,0.244,-0.122,-0.244,0
0.225065,0.967,0.299,0.122,0.488,-0.183,-0.244,0
0.233291,0.968,0.3,0.117,0.366,-0.061,-0.366,0
0.242291,0.971,0.302,0.119,0.0,-0.183,-0.366,0
0.250818,0.972,0.303,0.12,-0.305,-0.183,-0.305,0
0.259576,0.969,0.3,0.113,0.122,-0.122,-0.366,0
0.266468,0.967,0.3,0.115,0.549,-0.366,-0.305,0
0.274163,0.968,0.294,0.118,1.159,-0.244,-0.244,0
0.281616,0.965,0.296,0.118,1.22,-0.427,-0.183,0
0.290553,0.966,0.291,0.115,0.732,-0.366,-0.122,0
0.297715,0.964,0.295,0.118,0.366,-0.427,-0.061,0
0.306152,0.965,0.296,0.116,0.366,-0.427,0.122,0
0.313124,0.965,0.299,0.121,0.732,-0.61,0.183,0
0.320787,0.961,0.303,0.117,0.61,-0.488,0.122,0
0.329271,0.96,0.304,0.118,0.244,-0.427,0.183,0
0.336784,0.963,0.304,0.118,0.122,-0.488,0.305,0
0.345148,0.957,0.308,0.117,-0.122,-0.366,0.122,0
0.352242,0.962,0.307,0.117,-0.122,-0.244,0.0,0
0.360713,0.964,0.314,0.116,-0.061,-0.488,0.0,0
0.368491,0.971,0.315,0.113,0.0,-0.549,0.061,0
0.375342,0.969,0.314,0.119,0.427,-0.488,-0.244,0
0.383744,0.971,0.308,0.116,0.915,-0.488,-0.305,0
0.391874,0.971,0.31,0.113,1.098,-0.488,-0.183,0
0.399151,0.966,0.306,0.117,0.976,-0.61,-0.366,0
0.408197,0.971,0.3,0.123,1.342,-0.732,-0.488,0
0.416021,0.97,0.298,0.122,1.037,-0.671,-0.427,0
0.424398,0.963,0.297,0.122,0.976,-0.549,-0.488,0
0.431594,0.965,0.295,0.123,0.366,-0.549,-0.244,0
0.440651,0.969,0.296,0.12,0.061,-0.305,-0.183,0
0.447995,0.97,0.302,0.125,0.183,-0.488,-0.061,0
0.455819,0.972,0.294,0.12,0.244,-0.488,-0.122,0
0.462465,0.97,0.297,0.12,0.305,-0.366,-0.061,0
0.470064,0.966,0.302,0.121,0.732,-0.488,0.0,0
