timestamp_s,ax,ay,az,gx,gy,gz,label
0.005116,0.561,0.32,-0.093,-11.718,11.169,42.114,2
0.013293,0.525,0.3,-0.097,-10.253,11.84,44.616,2
0.019961,0.498,0.28,-0.105,-10.375,12.817,47.546,2
0.027957,0.456,0.257,-0.104,-5.859,12.512,50.354,2
0.036672,0.424,0.23,-0.104,6.835,11.901,53.222,2
0.043027,0.377,0.189,-0.112,22.033,10.437,55.908,2
0.05156,0.32,0.128,-0.117,34.24,9.338,58.471,2
0.057686,0.284,0.06,-0.127,46.203,7.934,62.072,2
0.065129,0.281,0.002,-0.143,52.368,6.958,66.528,2
0.072895,0.263,-0.066,-0.181,42.907,7.934,71.044,2
0.080721,0.221,-0.116,-0.2,13.549,10.437,75.561,2
0.088385,0.168,-0.148,-0.215,-25.451,13.854,80.2,2
0.096533,0.119,-0.136,-0.211,-60.058,16.845,84.228,2
0.103153,0.043,-0.125,-0.209,-83.74,20.141,88.317,2
0.111284,-0.021,-0.108,-0.207,-98.449,22.399,92.468,2
0.118481,-0.054,-0.1,-0.196,-101.806,24.414,97.045,2
0.126263,-0.106,-0.096,-0.197,-93.749,24.719,101.379,2
0.134657,-0.143,-0.103,-0.192,-76.416,23.986,106.323,2
0.143672,-0.149,-0.119,-0.189,-53.039,22.399,111.511,2
0.151055,-0.161,-0.126,-0.184,-25.39,20.202,117.187,2
0.157897,-0.162,-0.134,-0.187,2.136,17.944,124.023,2
0.166839,-0.104,-0.18,-0.214,21.362,16.052,133.483,2
0.175461,-0.062,-0.209,-0.243,23.498,15.808,142.272,2
0.182145,-0.06,-0.231,-0.272,7.202,16.357,153.442,2
0.191207,-0.062,-0.202,-0.301,-8.728,17.944,163.513,2
0.199127,-0.138,-0.154,-0.305,-25.451,18.859,172.912,2
0.207704,-0.239,-0.143,-0.327,-55.48,20.935,184.143,2
0.214923,-0.258,-0.104,-0.351,-82.824,22.583,194.824,2
0.223383,-0.261,-0.004,-0.342,-85.693,22.766,205.932,2
0.230956,-0.327,0.108,-0.348,-60.974,20.324,215.27,2
0.240039,-0.376,0.187,-0.358,-14.77,14.77,225.219,2
0.247209,-0.444,0.24,-0.386,23.62,8.422,232.849,2
0.255544,-0.527,0.291,-0.421,47.302,2.319,239.868,2
0.263321,-0.565,0.355,-0.468,50.292,-3.234,247.07,2
0.269979,-0.627,0.469,-0.51,36.56,-7.263,253.601,2
0.278077,-0.682,0.575,-0.526,12.39,-9.46,258.728,2
0.285874,-0.754,0.735,-0.538,-10.803,-10.925,262.939,2
0.292488,-0.792,0.913,-0.527,-23.315,-12.451,266.601,2
0.300345,-0.821,1.102,-0.528,-22.155,-14.526,269.226,2
0.308856,-0.849,1.275,-0.532,-13.122,-16.784,270.446,2
0.317131,-0.899,1.438,-0.524,-6.774,-18.31,270.69,2
0.324491,-0.943,1.611,-0.512,-4.211,-19.836,268.615,2
0.333889,-0.952,1.733,-0.493,-2.319,-20.812,265.563,2
0.340731,-0.941,1.857,-0.47,7.08,-22.888,260.375,2
0.349237,-0.92,1.956,-0.447,22.644,-24.658,255.065,2
0.356958,-0.9,2.038,-0.459,30.883,-26.55,249.389,2
0.36583,-0.875,2.088,-0.458,15.869,-25.146,242.004,2
0.375301,-0.834,2.16,-0.463,-14.77,-22.766,234.069,2
0.382845,-0.744,2.27,-0.447,-32.653,-19.47,225.708,2
0.391771,-0.687,2.336,-0.437,-39.55,-17.333,216.308,2
0.401745,-0.632,2.404,-0.422,-36.926,-15.38,206.726,2
0.408667,-0.6,2.458,-0.41,-23.62,-15.136,196.472,2
0.417202,-0.562,2.464,-0.403,-6.835,-15.624,187.316,2
0.426156,-0.48,2.415,-0.384,10.375,-16.845,177.124,2
