timestamp_s,ax,ay,az,gx,gy,gz,label
0.005488,-0.854,0.584,-0.173,7.019,-0.305,6.286,1
0.013671,-0.854,0.584,-0.173,6.286,-0.793,5.859,1
0.02073,-0.856,0.587,-0.169,7.263,-1.098,5.432,1
0.028965,-0.85,0.587,-0.164,9.277,-1.22,5.065,1
0.037644,-0.852,0.583,-0.17,12.634,-2.136,4.821,1
0.045856,-0.854,0.583,-0.168,15.014,-2.685,4.089,1
0.054015,-0.857,0.577,-0.173,16.54,-3.356,3.906,1
0.061605,-0.853,0.571,-0.166,17.639,-3.784,3.356,1
0.069918,-0.846,0.567,-0.167,17.639,-4.272,3.234,1
0.076483,-0.848,0.564,-0.17,17.089,-4.516,2.807,1
0.084707,-0.855,0.564,-0.172,15.686,-4.516,2.563,1
0.092827,-0.864,0.57,-0.172,14.221,-4.882,2.014,1
0.100007,-0.863,0.565,-0.174,13.305,-5.187,1.647,1
0.109391,-0.855,0.563,-0.17,13.183,-5.554,1.098,1
0.116374,-0.851,0.562,-0.169,13.427,-5.859,1.037,1
0.125048,-0.849,0.563,-0.174,13.488,-6.347,0.671,1
0.133955,-0.848,0.56,-0.174,15.319,-6.958,0.488,1
0.140899,-0.836,0.565,-0.169,19.592,-7.69,-0.061,1
0.150402,-0.833,0.564,-0.17,25.695,-8.728,-0.122,1
0.157399,-0.831,0.561,-0.177,30.029,-9.704,-0.427,1
0.16582,-0.829,0.554,-0.175,32.836,-10.498,-0.61,1
0.174998,-0.83,0.552,-0.175,33.813,-11.047,-0.976,1
0.183911,-0.833,0.549,-0.172,33.386,-11.535,-1.647,1
0.192548,-0.829,0.546,-0.174,30.822,-11.901,-1.953,1
0.202016,-0.833,0.539,-0.174,27.404,-11.779,-2.38,1
0.207581,-0.837,0.533,-0.174,22.888,-11.901,-2.685,1
0.216332,-0.839,0.53,-0.171,18.798,-11.413,-2.99,1
0.224368,-0.851,0.536,-0.17,14.282,-11.413,-2.99,1
0.233793,-0.848,0.537,-0.168,12.023,-11.474,-3.234,1
0.24002,-0.845,0.547,-0.169,12.695,-11.718,-3.112,1
0.248658,-0.841,0.56,-0.174,16.906,-12.634,-3.234,1
0.256421,-0.848,0.571,-0.178,24.353,-13.854,-3.295,1
0.265703,-0.843,0.587,-0.191,33.508,-15.197,-3.479,1
0.273196,-0.847,0.6,-0.205,43.884,-17.211,-3.662,1
0.281895,-0.841,0.606,-0.213,51.208,-18.676,-4.028,1
0.290205,-0.83,0.613,-0.217,58.166,-20.629,-4.272,1
0.298835,-0.834,0.621,-0.222,62.072,-21.972,-4.577,1
0.306308,-0.827,0.627,-0.236,62.622,-23.071,-4.943,1
0.316832,-0.811,0.643,-0.244,61.889,-23.742,-4.943,1
0.323886,-0.807,0.674,-0.262,62.744,-25.329,-5.371,1
0.333002,-0.819,0.707,-0.283,64.758,-26.672,-5.798,1
0.341638,-0.828,0.732,-0.302,64.941,-28.503,-6.713,1
0.350848,-0.82,0.773,-0.309,63.964,-30.09,-7.812,1
0.357561,-0.812,0.819,-0.315,64.086,-31.921,-8.972,1
0.366283,-0.806,0.851,-0.325,64.819,-33.264,-10.559,1
0.374961,-0.81,0.903,-0.336,65.246,-34.24,-11.84,1
0.384456,-0.818,0.94,-0.343,65.49,-35.522,-14.282,1
0.393478,-0.827,0.99,-0.355,65.734,-36.743,-16.845,1
0.400354,-0.843,1.073,-0.38,65.734,-37.78,-20.69,1
0.408329,-0.855,1.123,-0.409,61.706,-38.574,-24.475,1
0.417687,-0.852,1.162,-0.425,53.833,-38.879,-28.93,1
0.424938,-0.833,1.216,-0.434,44.006,-39.428,-33.996,1
0.435295,-0.825,1.258,-0.425,39.55,-39.367,-39.123,1
0.442511,-0.953,1.286,-0.465,27.343,-37.78,-45.227,1
0.453092,-0.958,1.331,-0.492,12.878,-38.452,-50.048,1
0.460254,-0.878,1.381,-0.501,7.385,-38.391,-56.64,1
0.46992,-0.882,1.399,-0.543,6.042,-40.222,-61.767,1
0.477541,-0.902,1.426,-0.568,5.615,-42.602,-66.955,1
0.484606,-0.893,1.448,-0.587,10.07,-45.715,-71.533,1
0.491947,-0.913,1.457,-0.612,16.479,-48.645,-75.683,1
0.502083,-0.933,1.464,-0.633,21.728,-51.757,-79.467,1
0.510151,-0.949,1.467,-0.637,26.977,-55.419,-83.618,1
0.518052,-0.962,1.462,-0.648,31.555,-58.044,-87.524,1
0.526684,-0.974,1.457,-0.646,34.301,-61.279,-91.186,1
0.533696,-0.976,1.452,-0.65,35.339,-63.293,-94.421,1
0.541697,-0.986,1.441,-0.655,34.057,-65.429,-97.839,1
0.550147,-1.0,1.445,-0.66,30.029,-67.504,-101.684,1
0.560052,-1.02,1.454,-0.668,25.756,-69.824,-105.163,1
0.568706,-1.032,1.45,-0.67,20.019,-72.448,-109.069,1
0.575987,-1.042,1.451,-0.674,14.16,-74.768,-112.976,1
0.585974,-1.076,1.452,-0.668,9.277,-77.575,-117.004,1
0.592602,-1.104,1.448,-0.665,5.92,-80.2,-120.544,1
0.600979,-1.122,1.445,-0.67,0.427,-82.275,-123.596,1
0.610139,-1.143,1.451,-0.662,-5.31,-85.266,-126.647,1
0.617431,-1.161,1.455,-0.649,-6.286,-87.158,-129.211,1
0.624563,-1.18,1.452,-0.648,-5.493,-89.538,-131.408,1
0.632976,-1.195,1.452,-0.639,-4.577,-91.552,-133.544,1
0.641755,-1.195,1.442,-0.637,-4.638,-93.627,-135.925,1
0.649112,-1.195,1.43,-0.64,-7.019,-95.275,-137.756,1
0.657463,-1.19,1.428,-0.646,-9.887,-97.045,-139.587,1
0.666118,-1.207,1.429,-0.651,-12.39,-98.754,-140.991,1
0.674693,-1.238,1.422,-0.663,-18.676,-101.013,-142.822,1
0.68346,-1.261,1.431,-0.665,-29.724,-102.661,-143.92,1
0.690243,-1.272,1.442,-0.658,-44.616,-103.82,-145.202,1
0.699722,-1.273,1.456,-0.652,-59.326,-104.858,-146.24,1
0.708035,-1.272,1.491,-0.635,-73.913,-105.468,-147.644,1
0.716453,-1.273,1.525,-0.633,-83.557,-106.872,-148.925,1
0.724759,-1.28,1.574,-0.637,-83.74,-108.764,-151.062,1
0.734481,-1.277,1.595,-0.661,-79.589,-111.022,-153.076,1
0.743017,-1.273,1.585,-0.678,-74.89,-114.013,-155.761,1
0.752192,-1.275,1.556,-0.709,-76.66,-116.271,-158.508,1
