ax,ay,az,gx,gy,gz,label
-0.064,0.990,0.113,-2.869,2.197,0.061,0
-0.064,0.986,0.114,-1.038,2.625,0.122,0
-0.066,0.986,0.117,1.282,2.991,0.061,0
-0.064,0.980,0.115,1.221,3.540,-0.366,0
-0.055,0.981,0.112,-0.549,3.662,-0.305,0
-0.051,0.982,0.107,-1.282,4.089,-0.366,0
-0.054,0.983,0.112,-3.357,4.272,-0.122,0
-0.055,0.987,0.114,-3.601,4.028,0.183,0
-0.056,0.979,0.114,-2.075,3.723,0.549,0
-0.059,0.985,0.114,0.305,3.479,1.038,0
-0.063,0.983,0.111,0.916,2.869,1.465,0
-0.069,0.979,0.104,-0.671,2.625,1.953,0
-0.069,0.977,0.098,-0.671,2.197,2.136,0
-0.077,0.977,0.105,-0.244,1.770,2.380,0
-0.084,0.981,0.108,-0.549,1.587,2.136,0
-0.077,0.975,0.107,-0.793,1.160,1.953,0
-0.069,0.980,0.105,-1.770,1.099,1.953,0
-0.060,0.993,0.114,-1.282,0.671,2.319,0
-0.057,1.004,0.110,0.916,0.549,2.686,0
-0.058,1.004,0.104,3.296,0.366,3.540,0
-0.071,0.998,0.097,6.042,0.671,3.296,0
-0.082,0.987,0.097,8.118,0.916,2.930,0
-0.085,0.976,0.100,6.104,1.343,1.892,0
-0.082,0.967,0.105,0.854,1.587,0.854,0
-0.078,0.979,0.115,-2.197,1.404,0.000,0
-0.073,0.982,0.112,-1.282,1.648,-0.183,0
-0.060,0.983,0.108,1.526,2.197,-0.549,0
-0.057,0.988,0.106,3.662,2.258,-0.244,0
-0.056,0.984,0.108,2.869,2.441,-0.305,0
-0.063,0.979,0.110,-2.747,1.953,-0.366,0
-0.072,0.973,0.123,-8.240,1.587,-0.122,0
-0.076,0.976,0.121,-6.958,1.221,-0.122,0
-0.078,0.986,0.123,-1.160,0.854,0.122,0
-0.081,0.986,0.115,3.906,0.183,0.732,0
-0.093,0.978,0.113,4.272,-0.061,0.793,0
-0.092,0.967,0.109,-1.343,-0.610,0.977,0
-0.089,0.979,0.118,-6.226,-1.282,1.343,0
-0.090,0.982,0.124,-6.470,-1.953,1.587,0
-0.081,0.990,0.129,-1.892,-2.563,2.075,0
-0.078,0.991,0.130,4.089,-3.113,2.319,0
-0.079,0.982,0.121,4.639,-3.662,2.808,0
-0.071,0.981,0.112,0.488,-4.211,2.869,0
