ax,ay,az,gx,gy,gz,label
-0.840,0.583,-0.168,-105.103,40.405,-16.907,2
-0.793,0.599,-0.144,-99.365,44.067,-19.897,2
-0.713,0.610,-0.153,-81.848,49.316,-22.339,2
-0.637,0.628,-0.207,-59.143,57.922,-24.353,2
-0.592,0.647,-0.282,-42.236,69.641,-26.611,2
-0.670,0.697,-0.348,-20.020,86.792,-26.184,2
-0.816,0.700,-0.334,-51.575,100.647,-26.001,2
-1.065,0.761,-0.253,-109.985,109.314,-31.189,2
-1.167,0.836,-0.098,-128.662,113.953,-37.048,2
-1.139,0.818,0.036,-138.672,114.929,-40.771,2
-1.142,0.846,0.155,-144.653,112.122,-42.175,2
-1.066,0.822,0.246,-171.082,107.056,-45.410,2
-1.002,0.866,0.391,-211.243,99.182,-52.063,2
-1.032,0.960,0.507,-218.140,91.003,-60.364,2
-1.047,1.040,0.586,-178.040,84.961,-68.970,2
-1.034,1.037,0.638,-121.277,80.444,-79.651,2
-1.017,1.011,0.673,-86.365,77.332,-94.482,2
-1.018,1.055,0.702,-73.792,74.463,-108.643,2
-1.004,1.105,0.712,-57.617,71.289,-122.925,2
-1.020,1.168,0.722,-15.747,69.397,-131.958,2
-0.999,1.208,0.700,41.016,69.824,-136.841,2
-0.984,1.155,0.642,64.087,72.510,-139.587,2
-0.980,1.060,0.564,44.739,76.904,-143.005,2
-0.959,1.024,0.544,20.264,80.750,-147.705,2
-0.892,0.994,0.547,31.250,84.595,-152.283,2
-0.798,0.936,0.536,54.687,87.646,-155.151,2
-0.745,0.871,0.477,64.453,91.736,-157.959,2
-0.670,0.779,0.409,58.716,96.985,-161.072,2
-0.625,0.684,0.355,30.579,101.074,-163.208,2
-0.594,0.632,0.321,-3.296,100.952,-162.964,2
-0.652,0.574,0.237,14.832,99.060,-155.762,2
-0.534,0.316,0.126,24.780,97.839,-147.644,2
-0.149,0.267,0.150,16.418,91.919,-135.193,2
-0.223,0.401,0.202,20.264,81.604,-115.234,2
-0.385,0.417,-0.119,126.892,79.895,-89.722,2
0.279,0.634,-0.046,252.930,86.914,-51.331,2
0.225,0.375,-0.091,137.146,86.182,-20.752,2
-0.031,0.289,0.011,-125.122,73.486,-4.639,2
-0.273,0.440,0.168,-275.696,59.814,-1.099,2
-0.585,1.079,0.368,-81.360,59.326,-5.127,2
-0.741,1.161,0.476,181.702,62.256,-11.169,2
-0.650,0.989,0.388,219.971,65.125,-17.517,2
-0.491,1.036,0.514,88.379,67.383,-30.396,2
-0.396,1.125,0.588,23.987,71.777,-40.649,2
-0.339,1.149,0.653,51.819,77.515,-47.546,2
-0.224,1.067,0.647,84.839,82.520,-50.415,2
-0.104,0.984,0.610,91.248,85.327,-51.819,2
-0.076,0.913,0.572,90.332,87.524,-52.246,2
-0.080,0.849,0.473,74.036,89.111,-53.040,2
-0.005,0.804,0.442,45.227,87.402,-53.406,2
0.100,0.809,0.425,26.611,84.045,-50.781,2
0.202,0.781,0.365,31.921,80.750,-44.678,2
0.243,0.782,0.353,39.734,78.125,-36.926,2
0.184,0.782,0.367,39.429,75.623,-28.931,2
0.135,0.799,0.330,23.987,74.768,-20.569,2
0.233,0.754,0.375,-17.273,73.792,-15.625,2
0.279,0.809,0.426,-28.076,73.486,-12.451,2
0.352,0.874,0.487,23.804,72.449,-6.409,2
0.366,0.810,0.467,48.462,70.679,0.427,2
0.349,0.767,0.444,36.865,69.885,4.639,2
0.199,0.778,0.475,30.945,72.021,6.470,2
0.173,0.770,0.492,51.331,76.538,6.409,2
0.215,0.752,0.514,69.336,81.421,5.676,2
0.253,0.716,0.517,54.077,86.182,4.272,2
0.226,0.741,0.563,12.390,93.201,0.122,2
0.186,0.814,0.640,9.705,100.098,-4.944,2
0.216,0.888,0.731,30.640,107.605,-10.681,2
0.285,0.982,0.822,44.800,113.953,-18.005,2
0.314,1.123,0.917,44.373,121.338,-26.123,2
0.333,1.203,0.967,30.884,130.493,-35.583,2
0.326,1.307,1.018,33.508,140.015,-47.668,2
0.328,1.343,1.006,48.462,149.170,-62.805,2
0.360,1.255,0.937,66.040,156.433,-78.552,2
0.435,1.172,0.804,72.449,164.185,-94.727,2
0.437,1.040,0.626,88.318,171.814,-103.149,2
0.441,0.826,0.457,119.629,180.237,-100.769,2
0.377,0.560,0.274,77.026,187.317,-94.482,2
0.031,0.937,0.080,27.527,194.397,-84.839,2
0.155,0.172,0.133,-6.409,202.820,-80.688,2
-0.104,0.248,-0.049,-13.855,211.243,-68.054,2
-0.477,0.191,-0.301,14.954,220.886,-49.255,2
-0.995,-0.043,-0.341,15.686,231.873,-24.658,2
