ax,ay,az,gx,gy,gz,label
-0.782,0.609,-0.281,-47.852,14.587,-1.831,1
-0.859,0.661,-0.277,-17.639,13.062,-2.136,1
-0.865,0.655,-0.313,-4.700,11.902,-3.235,1
-0.835,0.663,-0.335,-37.231,10.925,-7.141,1
-0.811,0.736,-0.318,-36.499,11.169,-11.536,1
-0.869,0.768,-0.313,-1.892,11.902,-16.113,1
-0.843,0.755,-0.318,37.415,13.428,-20.813,1
-0.874,0.694,-0.356,23.193,14.282,-25.940,1
-0.837,0.667,-0.376,-59.753,15.564,-33.569,1
-0.831,0.774,-0.342,-110.168,16.418,-41.687,1
-0.870,0.932,-0.290,-89.844,17.090,-49.683,1
-0.915,1.018,-0.301,-38.330,17.822,-57.678,1
-0.900,1.017,-0.362,-56.458,18.494,-68.787,1
-0.952,1.134,-0.421,-131.775,18.311,-82.886,1
-0.950,1.367,-0.375,-156.189,16.296,-101.440,1
-0.952,1.530,-0.308,-85.388,13.794,-119.690,1
-0.944,1.536,-0.309,-36.499,11.414,-137.451,1
-0.962,1.514,-0.316,-56.519,9.033,-154.663,1
-0.919,1.557,-0.269,-68.787,6.775,-169.800,1
-0.927,1.586,-0.240,-50.964,5.859,-181.213,1
-0.955,1.588,-0.232,-21.729,6.836,-191.650,1
-0.938,1.544,-0.246,-6.226,9.277,-200.867,1
-0.958,1.511,-0.234,-17.151,11.780,-210.388,1
-0.949,1.527,-0.249,-22.583,12.939,-218.506,1
-0.944,1.535,-0.228,-14.099,13.611,-223.877,1
-0.907,1.518,-0.211,4.700,14.526,-227.722,1
-0.881,1.502,-0.190,32.104,16.052,-229.370,1
-0.838,1.445,-0.210,65.247,19.470,-230.225,1
-0.786,1.289,-0.265,47.852,21.973,-229.553,1
-0.760,1.271,-0.381,30.090,24.597,-229.187,1
-0.652,1.247,-0.286,29.114,24.902,-228.333,1
-0.525,1.160,-0.229,26.428,23.804,-225.891,1
-0.457,1.061,-0.205,21.606,21.606,-221.680,1
-0.350,1.111,-0.152,11.475,18.005,-209.778,1
-0.306,0.872,-0.274,21.606,17.334,-204.773,1
-0.306,0.777,-0.159,48.645,17.944,-197.754,1
-0.179,0.745,-0.072,79.346,20.569,-189.941,1
-0.091,0.651,-0.074,116.455,24.536,-183.411,1
-0.169,0.584,-0.329,139.648,32.776,-175.842,1
0.101,0.412,-0.240,82.886,38.391,-173.157,1
0.002,0.357,-0.178,93.140,44.373,-168.640,1
0.017,0.326,-0.332,108.337,53.467,-163.879,1
0.192,0.365,-0.389,78.064,60.364,-160.400,1
0.348,0.438,-0.341,31.250,60.486,-156.006,1
0.332,0.448,-0.410,2.625,56.396,-154.297,1
0.410,0.458,-0.408,-12.146,49.133,-151.001,1
0.428,0.532,-0.421,-0.122,39.978,-145.264,1
0.480,0.526,-0.464,25.208,32.471,-139.099,1
0.464,0.467,-0.473,30.823,26.672,-134.094,1
0.505,0.413,-0.478,18.188,21.667,-131.775,1
0.552,0.396,-0.438,-2.930,15.076,-130.310,1
0.492,0.432,-0.423,-2.441,9.155,-128.174,1
0.585,0.438,-0.386,23.254,3.540,-125.793,1
0.596,0.418,-0.385,42.480,-0.122,-124.390,1
0.696,0.413,-0.358,40.039,-3.235,-122.681,1
0.686,0.464,-0.315,36.133,-5.554,-120.728,1
0.639,0.493,-0.277,49.133,-6.042,-119.141,1
0.528,0.457,-0.217,74.951,-6.348,-119.446,1
0.490,0.394,-0.119,116.699,-4.761,-118.896,1
0.509,0.415,-0.127,141.357,-1.160,-118.042,1
0.554,0.402,-0.140,139.526,2.747,-115.784,1
0.617,0.408,-0.158,128.113,7.141,-112.915,1
0.652,0.378,-0.154,121.582,11.475,-109.985,1
0.583,0.291,-0.163,110.413,15.564,-107.666,1
0.574,0.250,-0.166,105.286,19.592,-104.126,1
0.655,0.200,-0.204,108.032,23.865,-99.915,1
0.584,0.151,-0.262,105.347,28.564,-95.215,1
0.646,0.130,-0.338,95.642,32.776,-88.928,1
0.612,0.096,-0.375,59.387,33.936,-83.130,1
0.689,0.043,-0.362,49.316,35.095,-78.003,1
0.774,0.003,-0.416,46.082,35.461,-71.716,1
0.808,0.011,-0.408,36.621,33.569,-66.589,1
0.894,0.036,-0.385,37.231,31.555,-60.730,1
0.940,0.044,-0.364,31.494,28.931,-57.007,1
0.950,0.055,-0.332,22.705,27.100,-56.152,1
0.977,0.044,-0.284,26.794,25.330,-57.983,1
0.941,0.042,-0.269,45.715,25.757,-61.035,1
0.929,0.003,-0.240,51.575,27.222,-65.613,1
0.843,-0.073,-0.210,42.297,30.396,-71.228,1
0.764,-0.164,-0.181,20.996,34.668,-77.148,1
0.595,-0.228,-0.149,1.648,39.917,-82.947,1
0.489,-0.317,-0.139,-11.230,46.692,-88.379,1
0.301,-0.404,-0.070,-7.141,54.565,-92.346,1
0.273,-0.506,-0.044,31.311,67.200,-91.675,1
0.098,-0.627,-0.001,44.312,78.918,-85.693,1
-0.058,-0.816,-0.054,0.183,90.881,-74.219,1
-0.303,-0.950,-0.080,-52.002,101.868,-59.998,1
-0.574,-1.123,-0.073,-53.589,114.746,-38.757,1
-0.824,-1.306,-0.134,-29.663,131.958,-6.348,1
-1.143,-1.448,-0.203,-49.744,150.085,32.288,1
-1.395,-1.532,-0.206,-52.917,166.016,78.125,1
-1.720,-1.733,-0.305,-57.800,182.800,132.263,1
-1.993,-1.726,-0.365,-60.486,198.120,192.993,1
-2.625,-1.948,-0.565,-35.034,212.952,270.508,1
-3.152,-2.004,-0.853,-45.959,222.473,353.271,1
-4.032,-1.966,-1.198,31.189,223.755,467.224,1
-5.325,-2.333,-1.388,81.543,203.796,588.562,1
-6.501,-2.088,-1.612,158.813,167.847,713.440,1
-8.000,-1.626,-1.639,290.710,83.130,870.300,1
-8.000,-1.161,-1.516,378.418,-36.560,1004.456,1
-8.000,-0.589,-1.020,453.003,-197.388,1107.788,1
-8.000,0.270,-0.471,589.478,-413.452,1168.945,1
-8.000,1.115,0.204,812.744,-662.720,1152.893,1
-8.000,2.075,1.036,1149.719,-943.176,1026.245,1
-8.000,1.905,1.905,1499.634,-1208.496,668.640,1
-8.000,1.256,0.931,1532.165,-1250.061,153.198,1
-8.000,1.269,1.298,1096.069,-1119.324,-276.672,1
-8.000,0.904,1.149,747.070,-919.311,-486.145,1
-8.000,0.563,1.261,738.464,-713.196,-612.244,1
-8.000,0.024,1.051,661.133,-540.710,-695.373,1
-8.000,-0.371,0.913,469.543,-379.517,-725.525,1
