ax,ay,az,label
-0.7042,0.6552,-0.4504,walking
-0.7159,0.7538,-0.5623,walking
-0.7339,0.6248,-0.5546,walking
-0.6688,0.5164,-0.5542,walking
-0.6418,0.6735,-0.4591,walking
-0.5160,1.0168,-0.2957,walking
-0.4326,0.9540,-0.1166,walking
-0.5016,0.6661,-0.1831,walking
-0.5770,0.5734,-0.4766,walking
-0.5817,0.6556,-0.4545,walking
-0.5333,0.8485,-0.1835,walking
-0.4674,0.7800,-0.1404,walking
-0.5031,0.4979,-0.3894,walking
-0.5505,0.3727,-0.5023,walking
-0.5387,0.4082,-0.5416,walking
-0.5005,0.7192,-0.3828,walking
-0.4860,0.8369,-0.2256,walking
-0.5576,0.6720,-0.2351,walking
-0.6234,0.5525,-0.3175,walking
-0.6578,0.4930,-0.4382,walking
-0.6440,0.6659,-0.4012,walking
-0.6208,0.9861,-0.4269,walking
-0.6266,1.0210,-0.4386,walking
-0.6221,0.9177,-0.5059,walking
-0.5753,1.0382,-0.6132,walking
-0.4484,0.8179,-0.3615,walking
-0.4175,0.5046,-0.2311,walking
-0.5031,0.3596,-0.4292,walking
-0.4824,0.5503,-0.6021,walking
-0.4375,0.9614,-0.4297,walking
-0.4495,1.0763,-0.1495,walking
-0.3833,0.8809,0.0396,walking
-0.4912,0.4901,-0.2369,walking
-0.6292,0.1907,-0.4971,walking
-0.6218,0.2216,-0.6886,walking
-0.6272,0.3254,-0.5802,walking
-0.6100,0.7953,-0.4010,walking
-0.5543,0.8838,-0.2374,walking
-0.6035,0.7125,-0.2891,walking
-0.6851,0.6161,-0.4924,walking
-0.7168,0.5638,-0.6609,walking
-0.7336,0.7374,-0.5034,walking
-0.7372,0.9315,-0.4570,walking
-0.7681,1.1393,-0.6382,walking
-0.5790,0.9277,-0.3409,walking
-0.5316,0.7616,-0.1123,walking
-0.6118,0.5724,-0.2208,walking
-0.6371,0.5007,-0.2281,walking
-0.5481,0.6216,-0.3237,walking
-0.5769,0.8671,-0.3119,walking
-0.4933,0.9341,-0.0803,walking
-0.3905,0.7468,-0.0802,walking
-0.4475,0.5599,-0.2394,walking
-0.5168,0.3777,-0.4722,walking
-0.5048,0.4392,-0.5262,walking
-0.5057,0.6079,-0.4301,walking
-0.4937,0.8213,-0.2570,walking
-0.5258,0.7943,-0.2407,walking
-0.5929,0.6775,-0.3596,walking
-0.6033,0.6697,-0.5095,walking
-0.5786,0.8147,-0.5874,walking
-0.5319,0.8823,-0.4281,walking
-0.5126,0.9951,-0.4487,walking
-0.5133,1.1578,-0.4940,walking
-0.3746,0.8997,-0.3525,walking
-0.4459,0.3933,-0.2629,walking
-0.5560,0.4115,-0.5789,walking
-0.4900,0.5787,-0.6060,walking
-0.4935,0.9502,-0.3240,walking
-0.4938,1.0103,0.0165,walking
-0.4578,0.5936,-0.0562,walking
-0.5513,0.3639,-0.3560,walking
-0.6672,0.1671,-0.5176,walking
-0.5730,0.2942,-0.5789,walking
-0.5803,0.7358,-0.3514,walking
-0.5703,0.9087,-0.2322,walking
-0.5576,0.8944,-0.2999,walking
-0.6512,0.6677,-0.5044,walking
-0.7538,0.5903,-0.6478,walking
-0.7960,0.6825,-0.6333,walking
-0.7905,0.8638,-0.4492,walking
-0.7590,0.8586,-0.3719,walking
-0.6633,0.9525,-0.4613,walking
-0.5144,1.0833,-0.3176,walking
-0.3130,0.9485,-0.1248,walking
-0.3407,0.6876,-0.0957,walking
-0.4777,0.4348,-0.3171,walking
